"species","dd long","dd lat","season","sex","group"
"Prionace glauca",10.207,42.36667,"SprSum","M","M_SprSum"
"Prionace glauca",6.035,42.369,"SprSum","M","M_SprSum"
"Prionace glauca",6.067,42.83333,"SprSum","M","M_SprSum"
"Prionace glauca",10.109,41.4219,"SprSum","M","M_SprSum"
"Prionace glauca",10.158,41.0551,"SprSum","M","M_SprSum"
"Prionace glauca",10.586,40.5306,"SprSum","M","M_SprSum"
"Prionace glauca",10.588,40.3605,"SprSum","M","M_SprSum"
"Prionace glauca",11.034,39.9081,"SprSum","M","M_SprSum"
"Prionace glauca",11.221,39.332,"SprSum","M","M_SprSum"
"Prionace glauca",11.124,39.3054,"SprSum","M","M_SprSum"
"Prionace glauca",10.623,39.5529,"SprSum","M","M_SprSum"
"Prionace glauca",10.025,39.7926,"SprSum","M","M_SprSum"
"Prionace glauca",11.219,39.6835,"SprSum","M","M_SprSum"
"Prionace glauca",11.457,39.813,"SprSum","M","M_SprSum"
"Prionace glauca",11.538,39.7209,"SprSum","M","M_SprSum"
"Prionace glauca",11.52,39.7451,"SprSum","M","M_SprSum"
"Prionace glauca",11.625,40.1094,"SprSum","M","M_SprSum"
"Prionace glauca",11.617,40.3885,"SprSum","M","M_SprSum"
"Prionace glauca",11.767,40.3677,"SprSum","M","M_SprSum"
"Prionace glauca",11.952,40.0598,"SprSum","M","M_SprSum"
"Prionace glauca",11.832,39.8505,"SprSum","M","M_SprSum"
"Prionace glauca",12.098,39.7379,"SprSum","M","M_SprSum"
"Prionace glauca",12.204,39.7081,"SprSum","M","M_SprSum"
"Prionace glauca",11.952,39.5378,"SprSum","M","M_SprSum"
"Prionace glauca",11.866,39.623,"SprSum","M","M_SprSum"
"Prionace glauca",11.514,39.374,"SprSum","M","M_SprSum"
"Prionace glauca",12.168,40.0466,"SprSum","M","M_SprSum"
"Prionace glauca",12.49,39.7876,"SprSum","M","M_SprSum"
"Prionace glauca",12.476,39.738,"SprSum","M","M_SprSum"
"Prionace glauca",12.818,39.8319,"SprSum","M","M_SprSum"
"Prionace glauca",12.905,39.6696,"SprSum","M","M_SprSum"
"Prionace glauca",12.582,39.3988,"SprSum","M","M_SprSum"
"Prionace glauca",14.382,39.78,"SprSum","M","M_SprSum"
"Prionace glauca",15.204,39.465,"SprSum","M","M_SprSum"
"Prionace glauca",15.069,39.3081,"SprSum","M","M_SprSum"
"Prionace glauca",14.37,39.1998,"SprSum","M","M_SprSum"
"Prionace glauca",14.53,39.2619,"SprSum","M","M_SprSum"
"Prionace glauca",14.213,40.2152,"SprSum","M","M_SprSum"
"Prionace glauca",14.288,39.9971,"SprSum","M","M_SprSum"
"Prionace glauca",13.926,40.4123,"SprSum","M","M_SprSum"
"Prionace glauca",13.931,40.3346,"SprSum","M","M_SprSum"
"Prionace glauca",13.616,40.3558,"SprSum","M","M_SprSum"
"Prionace glauca",13.603,40.5195,"SprSum","M","M_SprSum"
"Prionace glauca",12.676,40.5143,"SprSum","M","M_SprSum"
"Prionace glauca",12.575,40.5265,"SprSum","M","M_SprSum"
"Prionace glauca",12.454,40.5424,"SprSum","M","M_SprSum"
"Prionace glauca",12.348,40.5783,"SprSum","M","M_SprSum"
"Prionace glauca",12.162,40.5552,"SprSum","M","M_SprSum"
"Prionace glauca",3.948208,43.267246,"SprSum","M","M_SprSum"
"Prionace glauca",3.900675,43.195342,"SprSum","M","M_SprSum"
"Prionace glauca",3.500338,42.609767,"SprSum","M","M_SprSum"
"Prionace glauca",3.500338,42.609767,"SprSum","M","M_SprSum"
"Prionace glauca",3.80145,43.178042,"SprSum","M","M_SprSum"
"Prionace glauca",3.80145,43.178042,"SprSum","M","M_SprSum"
"Prionace glauca",3.80145,43.178042,"SprSum","M","M_SprSum"
"Prionace glauca",3.3658,42.7594,"SprSum","M","M_SprSum"
"Prionace glauca",3.3658,42.7594,"SprSum","M","M_SprSum"
