"species","dd long","dd lat","sex"
"Prionace glauca",12.098,39.7379,"M"
"Prionace glauca",12.204,39.7081,"M"
"Prionace glauca",11.952,39.5378,"M"
"Prionace glauca",11.866,39.623,"M"
"Prionace glauca",11.514,39.374,"M"
"Prionace glauca",12.168,40.0466,"M"
"Prionace glauca",12.49,39.7876,"M"
"Prionace glauca",12.476,39.738,"M"
"Prionace glauca",12.818,39.8319,"M"
"Prionace glauca",12.905,39.6696,"M"
"Prionace glauca",12.582,39.3988,"M"
"Prionace glauca",12.897,39.10279,"M"
"Prionace glauca",12.814,39.24207,"M"
"Prionace glauca",12.992,39.26237,"M"
"Prionace glauca",13.174,39.48181,"M"
"Prionace glauca",13.274,39.86229,"M"
"Prionace glauca",13.233,39.84973,"M"
"Prionace glauca",13.54,39.70385,"M"
"Prionace glauca",13.664,39.46991,"M"
"Prionace glauca",14.059,39.54644,"M"
"Prionace glauca",14.056,39.57404,"M"
"Prionace glauca",14.03,39.59858,"M"
"Prionace glauca",14.001,39.60815,"M"
"Prionace glauca",14.155,39.58322,"M"
"Prionace glauca",14.234,39.50058,"M"
"Prionace glauca",14.291,39.51597,"M"
"Prionace glauca",14.298,39.55965,"M"
"Prionace glauca",14.262,39.6599,"M"
"Prionace glauca",14.357,39.70117,"M"
"Prionace glauca",14.256,39.72643,"M"
"Prionace glauca",14.319,39.75317,"M"
"Prionace glauca",14.382,39.78,"M"
"Prionace glauca",14.411,39.74076,"M"
"Prionace glauca",14.485,39.66809,"M"
"Prionace glauca",14.149,39.80859,"M"
"Prionace glauca",14.07,39.79262,"M"
"Prionace glauca",14.017,39.81924,"M"
"Prionace glauca",14.002,39.76964,"M"
"Prionace glauca",14.619,39.73243,"M"
"Prionace glauca",14.71,39.71222,"M"
"Prionace glauca",14.663,39.68646,"M"
"Prionace glauca",14.68,39.66385,"M"
"Prionace glauca",14.595,39.63537,"M"
"Prionace glauca",14.666,39.69059,"M"
"Prionace glauca",14.723,39.6152,"M"
"Prionace glauca",14.801,39.6714,"M"
"Prionace glauca",14.815,39.58692,"M"
"Prionace glauca",14.833,39.639,"M"
"Prionace glauca",14.85,39.5173,"M"
"Prionace glauca",14.886,39.46347,"M"
"Prionace glauca",14.946,39.52373,"M"
"Prionace glauca",14.996,39.57403,"M"
"Prionace glauca",15.014,39.57129,"M"
"Prionace glauca",15.02,39.52347,"M"
"Prionace glauca",15.014,39.44113,"M"
"Prionace glauca",15.124,39.46998,"M"
"Prionace glauca",15.28,39.49356,"M"
"Prionace glauca",15.204,39.465,"M"
"Prionace glauca",15.202,39.41673,"M"
"Prionace glauca",15.253,39.37357,"M"
"Prionace glauca",15.355,39.33254,"M"
"Prionace glauca",15.139,39.38115,"M"
"Prionace glauca",15.122,39.30545,"M"
"Prionace glauca",15.069,39.3081,"M"
"Prionace glauca",15.058,39.1995,"M"
"Prionace glauca",15.122,39.68775,"M"
"Prionace glauca",15.074,39.8543,"M"
"Prionace glauca",15.267,39.86586,"M"
"Prionace glauca",15.346,39.81731,"M"
"Prionace glauca",15.203,39.80064,"M"
"Prionace glauca",15.122,39.68775,"M"
"Prionace glauca",15.32,39.69351,"M"
"Prionace glauca",15.333,39.65548,"M"
"Prionace glauca",15.428,39.58875,"M"
"Prionace glauca",14.398,39.27792,"M"
"Prionace glauca",14.37,39.1998,"M"
"Prionace glauca",14.638,39.19689,"M"
"Prionace glauca",14.53,39.2619,"M"
"Prionace glauca",14.649,38.9729,"M"
"Prionace glauca",15.058,39.1995,"M"
"Prionace glauca",15.524,38.90508,"M"
"Prionace glauca",15.845,39.09225,"M"
"Prionace glauca",14.674,38.68964,"M"
"Prionace glauca",14.382,38.59883,"M"
"Prionace glauca",14.888,40.02787,"M"
"Prionace glauca",14.213,40.2152,"M"
"Prionace glauca",14.266,40.10487,"M"
"Prionace glauca",14.251,40.06276,"M"
"Prionace glauca",14.288,39.9971,"M"
"Prionace glauca",13.926,40.4123,"M"
"Prionace glauca",13.931,40.3346,"M"
"Prionace glauca",13.818,40.38275,"M"
"Prionace glauca",13.616,40.3558,"M"
"Prionace glauca",13.628,40.41721,"M"
"Prionace glauca",13.583,40.38052,"M"
"Prionace glauca",13.555,40.43962,"M"
"Prionace glauca",13.603,40.5195,"M"
"Prionace glauca",13.501,40.43041,"M"
"Prionace glauca",13.379,40.41879,"M"
"Prionace glauca",13.28,40.40874,"M"
"Prionace glauca",12.949,40.5483,"M"
"Prionace glauca",12.676,40.5143,"M"
"Prionace glauca",12.678,40.55987,"M"
"Prionace glauca",12.575,40.5265,"M"
"Prionace glauca",12.454,40.5424,"M"
"Prionace glauca",12.348,40.5783,"M"
"Prionace glauca",12.162,40.5552,"M"
"Prionace glauca",12.75,40.68863,"M"
"Prionace glauca",12.548,41.02814,"M"
"Prionace glauca",12.541,40.9779,"M"
"Prionace glauca",12.447,41.27235,"M"
"Prionace glauca",11.916,41.21236,"M"
"Prionace glauca",11.676,41.1759,"M"
"Prionace glauca",13.487,40.79133,"M"
"Prionace glauca",3.913783,43.143225,"M"
"Prionace glauca",3.948208,43.267246,"M"
"Prionace glauca",3.900675,43.195342,"M"
"Prionace glauca",3.500338,42.609767,"M"
"Prionace glauca",3.500338,42.609767,"M"
"Prionace glauca",3.80145,43.178042,"M"
"Prionace glauca",3.80145,43.178042,"M"
"Prionace glauca",3.80145,43.178042,"M"
"Prionace glauca",3.3658,42.7594,"M"
"Prionace glauca",3.3658,42.7594,"M"
"Prionace glauca",3.3658,42.7594,"M"
"Prionace glauca",3.78355,43.201287,"M"
