"species","dd long","dd lat","sex"
"Prionace glauca",12.91528333,45.26161667,"F"
"Prionace glauca",12.80091667,45.3456,"F"
"Prionace glauca",12.92081667,45.45425,"F"
"Prionace glauca",12.92081667,45.45425,"F"
"Prionace glauca",12.71888333,45.23991667,"F"
"Prionace glauca",12.79773333,45.23021667,"F"
"Prionace glauca",12.79773333,45.23021667,"F"
"Prionace glauca",12.63031667,45.34658333,"F"
"Prionace glauca",12.63031667,45.34658333,"F"
"Prionace glauca",13.01368333,45.328,"F"
"Prionace glauca",12.6819,45.22303333,"F"
"Prionace glauca",12.6819,45.22303333,"F"
"Prionace glauca",12.6819,45.22303333,"F"
"Prionace glauca",12.6819,45.22303333,"F"
"Prionace glauca",12.94768333,45.16585,"F"
"Prionace glauca",12.94768333,45.16585,"F"
"Prionace glauca",12.6718,45.17488333,"F"
"Prionace glauca",12.6718,45.17488333,"F"
"Prionace glauca",12.66222222,45.10611111,"F"
"Prionace glauca",12.66222222,45.10611111,"F"
"Prionace glauca",12.66222222,45.10611111,"F"
"Prionace glauca",12.71027778,44.99083333,"F"
"Prionace glauca",12.71027778,44.99083333,"F"
"Prionace glauca",12.81472222,44.96972222,"F"
"Prionace glauca",12.81472222,44.96972222,"F"
"Prionace glauca",12.81472222,44.96972222,"F"
"Prionace glauca",12.59833333,44.775,"F"
"Prionace glauca",12.59833333,44.775,"F"
"Prionace glauca",12.51696667,44.82645,"F"
"Prionace glauca",12.51696667,44.82645,"F"
"Prionace glauca",12.51595,44.79895,"F"
"Prionace glauca",12.74365,44.88498333,"F"
"Prionace glauca",13.8791,44.03366667,"F"
"Prionace glauca",13.8791,44.03366667,"F"
"Prionace glauca",13.60421667,43.95806667,"F"
"Prionace glauca",13.64678333,43.74581167,"F"
"Prionace glauca",13.69865,43.90791667,"F"
"Prionace glauca",13.7388,43.871615,"F"
"Prionace glauca",13.64166667,43.80472222,"F"
"Prionace glauca",13.15613333,45.31456667,"F"
"Prionace glauca",13.0127,45.327135,"F"
"Prionace glauca",13.211,45.43606667,"F"
"Prionace glauca",13.21688333,45.26281667,"F"
"Prionace glauca",13.21688333,45.26281667,"F"
"Prionace glauca",12.78666667,45.32805556,"F"
"Prionace glauca",12.80027778,45.32555556,"F"
"Prionace glauca",12.88027778,44.98222222,"F"
"Prionace glauca",12.76833333,44.98805556,"F"
"Prionace glauca",12.47166667,44.55361111,"F"
"Prionace glauca",12.49391667,44.78555,"F"
"Prionace glauca",12.86751667,45.26531667,"F"
"Prionace glauca",12.8671667,45.2673,"F"
"Prionace glauca",12.8667,45.43141667,"F"
"Prionace glauca",12.8667,45.43141667,"F"
"Prionace glauca",12.86651667,45.26671667,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.86718333,45.25391667,"F"
"Prionace glauca",13.20166667,45.41972222,"F"
"Prionace glauca",13.20166667,45.41972222,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.88033333,45.2505,"F"
"Prionace glauca",12.86718333,45.25391667,"F"
