"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",19.09774,41.804051,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",18.776472,42.215599,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",18.776472,42.215599,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.54722222222222,41.1625,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.54722222222222,41.1625,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.58972222222222,41.3002777777778,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.07093333,44.2416,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.65445,45.10646667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67638889,44.26638889,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67638889,44.26638889,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67638889,44.26638889,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67638889,44.26638889,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67638889,44.26638889,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67638889,44.26638889,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67638889,44.26638889,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67638889,44.26638889,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.56773333,45.02711667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.64403333,44.97408333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.65211667,44.88903333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.59338333,44.96666667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.7411,44.71366667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.3875,45.49111111,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.63846667,44.98826667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.94588333,45.34196667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.94588333,45.34196667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.94588333,45.34196667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.66233333,44.95043333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.59138889,45.0825,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.71888333,45.23991667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.79833333,45.31944444,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.63031667,45.34658333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.63031667,45.34658333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.63031667,45.34658333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.63031667,45.34658333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.63031667,45.34658333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.01368333,45.328,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.01368333,45.328,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.66222222,45.10611111,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.66222222,45.10611111,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.66222222,45.10611111,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.81472222,44.96972222,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.81472222,44.96972222,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.59833333,44.775,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.74365,44.88498333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.74365,44.88498333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.74365,44.88498333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.8791,44.03366667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.60421667,43.95806667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.60421667,43.95806667,"WinSpr","Juvenile","Juvenile_WinSpr"
