"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",14.398,39.27792,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.638,39.19689,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.649,38.9729,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.058,39.1995,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.524,38.90508,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.845,39.09225,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.674,38.68964,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.382,38.59883,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.888,40.02787,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.266,40.10487,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.251,40.06276,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.818,40.38275,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.628,40.41721,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.583,40.38052,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.555,40.43962,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.501,40.43041,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.379,40.41879,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.28,40.40874,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.949,40.5483,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.678,40.55987,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.75,40.68863,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.548,41.02814,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.541,40.9779,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.447,41.27235,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",11.916,41.21236,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",11.676,41.1759,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.487,40.79133,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.458,38.35512,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.44,38.36667,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.939,38.60062,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.694,38.5967,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.945,38.27979,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.575,38.50318,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.14,38.56409,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-1.991,36.577,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-2.307,36.622,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-2.443,36.595,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-2.813,36.452,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-3.686,36.243,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-3.507,35.653,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-2.009,35.39,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-1.936,35.71,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-2.21,36.037,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-1.577,36.552,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-0.948,36.686,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",-0.603,36.798,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",1.65,37.423,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",2.12,38.537,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",7.138,41.562,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",6.152617,42.87177,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",17.104,41.8541666666667,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",17.1225,41.802,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",17.155,41.755,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",17.279,41.6236666666667,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",17.4347166666667,41.4297333333333,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",17.4817333333333,41.3585666666667,"AutWin","Adult","Adult_AutWin"
