"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"Q";2;"fc.Q_rm.2";0.563847667704188;0.68;0.0382862335822131;0.00535464345251291;0.533401680319338;0.00133604105968714;0.142;0.291327993848858;0.147414395527603;0.0377024789689263;0.00747728860936408;9.8826943562061e-05;12682.8973230904;154.287497709221;2.64248518646532e-34;5
"P";2;"fc.P_rm.2";0.559675535734724;0.905;0.0208988708220044;0.00103657261844554;0.539068300315425;0.00791924672166607;0.382;0.550129075763134;0.13067784765898;0.0247067358905153;0.00747728860936408;9.8826943562061e-05;12718.0619122958;189.452086914645;6.11109501576071e-42;4
"H";2;"fc.H_rm.2";0.601329296690229;0.903;0.0643619492229575;0.00312684722549398;0.548240368520812;0.00517319587361272;0.2905;0.140714249456123;0.185010482180293;0.0054848953676944;0.00740740740740741;0.0104756560175785;12580.5081148861;51.8982895049012;4.52425032393965e-12;46
"LQ";2;"fc.LQ_rm.2";0.575944125782826;0.842;0.0369251622238048;0.011275379900159;0.549882932683486;0.00254984366197679;0.3575;0.166170093578839;0.132494758909853;0.0326128913754802;0.00377358490566038;0.0053366549523513;12632.5972608428;103.987435461628;2.21071265910407e-23;6
"LP";2;"fc.LP_rm.2";0.560359833848042;0.827;0.0332726497233867;0.018718717907926;0.531744677076928;0.00265545681872682;0.252;0.318198051533946;0.126904262753319;0.0300433908428666;0.0037037037037037;0.00523782800878924;12695.2138632227;166.604037841555;5.59126213256956e-37;5
"QP";2;"fc.QP_rm.2";0.582438374174127;0.943;0.0361512295007111;0.0129155581893721;0.550283822476509;0.00362671108207374;0.4195;0.348603643124968;0.126834381551363;0.0406178738040071;0.00377358490566038;0.0053366549523513;12648.9062594477;120.296434066502;6.35445412022538e-27;8
"QH";2;"fc.QH_rm.2";0.596576179821714;0.719;0.0629303450702771;0.000126677808061265;0.548349076432034;0.000588823182217136;0.2975;0.197282791951047;0.18319357092942;0.00242126011727048;0.012962962962963;0.0183323980307623;12531.9523092828;3.34248390166431;0.158236200063389;30
"LQP";2;"fc.LQP_rm.2";0.58241477419479;0.943;0.0362649799319359;0.0125792859263327;0.550685379993977;0.00425453858778202;0.4455;0.316076731190387;0.126834381551363;0.0406178738040071;0.00377358490566038;0.0053366549523513;12654.7352360887;126.125410707546;3.44613314786486e-28;11
"LQH";2;"fc.LQH_rm.2";0.596399230620416;0.856;0.0614006673283841;0.00176380521498918;0.547670107414006;0.00133674322011705;0.3095;0.122329473145273;0.196191474493361;0.0106238964329216;0;0;12553.5491238192;24.9392984380684;3.23308524197418e-06;40
"L";2.5;"fc.L_rm.2.5";0.553067541520264;0.565;0.0348837588125451;0.0130059962128;0.528182548857555;0.000617460411353585;-0.0905;0.251022907321224;0.121243885394829;0.0380483732713935;0.0037037037037037;0.00523782800878924;12683.3284434409;154.718618059766;2.13008025538444e-34;4
