"species","dd long","dd lat","season"
"Prionace glauca",10.558,38.152,"Win"
"Prionace glauca",-1.928,35.75827,"Win"
"Prionace glauca",-2.102,35.67659,"Win"
"Prionace glauca",-2.548,35.61304,"Win"
"Prionace glauca",-2.864,35.40157,"Win"
"Prionace glauca",-2.764,35.59481,"Win"
"Prionace glauca",-3.441,35.61603,"Win"
"Prionace glauca",-3.852,35.62995,"Win"
"Prionace glauca",-3.827,35.73833,"Win"
"Prionace glauca",-3.914,35.78944,"Win"
"Prionace glauca",-4.621,35.57198,"Win"
"Prionace glauca",-4.641,35.5279,"Win"
"Prionace glauca",-4.699,35.6599,"Win"
"Prionace glauca",-4.126,36.08422,"Win"
"Prionace glauca",5.36,39.207,"Win"
"Prionace glauca",3.129,39.165,"Win"
"Prionace glauca",2.584,39.367,"Win"
"Prionace glauca",2.207,38.857,"Win"
"Prionace glauca",1.38,38.493,"Win"
"Prionace glauca",1.376,38.447,"Win"
"Prionace glauca",-0.887,37.447,"Win"
"Prionace glauca",-1.547,36.815,"Win"
"Prionace glauca",-1.423,36.376,"Win"
"Prionace glauca",-0.615,35.797,"Win"
"Prionace glauca",-0.774,35.802,"Win"
"Prionace glauca",-2.771,35.626,"Win"
"Prionace glauca",-3.332,35.573,"Win"
"Prionace glauca",-4.01,35.544,"Win"
"Prionace glauca",-3.798,35.544,"Win"
"Prionace glauca",-3.984,36.243,"Win"
"Prionace glauca",-5.144,36.117,"Win"
"Prionace glauca",3.85138888888889,43.0575,"Win"
"Prionace glauca",5.79444444444444,43.0280555555556,"Win"
"Prionace glauca",3.61805555555556,43.0175,"Win"
"Prionace glauca",5.77055555555556,43.0075000000017,"Win"
"Prionace glauca",3.69666666666667,42.2347222222222,"Win"
"Prionace glauca",4.10055555555556,43.1738888888889,"Win"
"Prionace glauca",4.14138888888889,43.3872222222222,"Win"
"Prionace glauca",3.95000000000003,42.975,"Win"
"Prionace glauca",5.68305555555556,43.0152777777794,"Win"
"Prionace glauca",5.79888888888889,43.0052777777794,"Win"
"Prionace glauca",3.62916666666667,43.1016666666667,"Win"
"Prionace glauca",3.47055555555556,42.5711111111111,"Win"
"Prionace glauca",3.91416666666667,43.0797222222222,"Win"
"Prionace glauca",5.69388888888889,43.0880555555556,"Win"
"Prionace glauca",3.60444444444444,42.88,"Win"
"Prionace glauca",4.31194444444444,43.2527777777778,"Win"
"Prionace glauca",5.36416666666667,43.1536111111111,"Win"
"Prionace glauca",3.18444444444444,42.8013888888889,"Win"
"Prionace glauca",5.79555555555556,43.0627777777778,"Win"
"Prionace glauca",5.67777777777778,42.9888888888889,"Win"
"Prionace glauca",5.74583333333333,43.0208333333333,"Win"
"Prionace glauca",3.74444444444444,43.2955555555556,"Win"
"Prionace glauca",3.86416666666667,43.3438888888889,"Win"
"Prionace glauca",3.913783,43.143225,"Win"
"Prionace glauca",3.913783,43.143225,"Win"
"Prionace glauca",17.375,39.1,"Win"
"Prionace glauca",17.375,39.1,"Win"
"Prionace glauca",17.375,39.1,"Win"
"Prionace glauca",17.375,39.1,"Win"
"Prionace glauca",17.375,39.1,"Win"
"Prionace glauca",17.375,39.1,"Win"
"Prionace glauca",17.375,39.05,"Win"
"Prionace glauca",17.325,38.95,"Win"
"Prionace glauca",17.3,38.875,"Win"
"Prionace glauca",17.25,38.825,"Win"
"Prionace glauca",17.25,38.825,"Win"
"Prionace glauca",17.25,38.825,"Win"
"Prionace glauca",17.25,38.825,"Win"
"Prionace glauca",17.175,38.775,"Win"
"Prionace glauca",17.175,38.775,"Win"
"Prionace glauca",17.175,38.775,"Win"
"Prionace glauca",17.175,38.75,"Win"
"Prionace glauca",17.15,38.75,"Win"
"Prionace glauca",17.15,38.725,"Win"
"Prionace glauca",17.125,38.65,"Win"
"Prionace glauca",17.125,38.6,"Win"
"Prionace glauca",17.1,38.575,"Win"
"Prionace glauca",17.1,38.575,"Win"
"Prionace glauca",17.1,38.55,"Win"
"Prionace glauca",17.1,38.55,"Win"
"Prionace glauca",17.1,38.55,"Win"
"Prionace glauca",17.1,38.55,"Win"
"Prionace glauca",17.1,38.5,"Win"
"Prionace glauca",17.075,38.475,"Win"
"Prionace glauca",17.075,38.475,"Win"
"Prionace glauca",17.075,38.475,"Win"
"Prionace glauca",17.075,38.475,"Win"
"Prionace glauca",17.05,38.425,"Win"
"Prionace glauca",17.025,38.375,"Win"
"Prionace glauca",17,38.35,"Win"
"Prionace glauca",17,38.35,"Win"
"Prionace glauca",17,38.35,"Win"
"Prionace glauca",17,38.35,"Win"
"Prionace glauca",17,38.35,"Win"
"Prionace glauca",16.975,38.325,"Win"
"Prionace glauca",16.95,38.3,"Win"
"Prionace glauca",16.925,38.275,"Win"
"Prionace glauca",16.925,38.275,"Win"
"Prionace glauca",16.925,38.275,"Win"
"Prionace glauca",16.925,38.275,"Win"
"Prionace glauca",16.925,38.275,"Win"
"Prionace glauca",16.875,38.275,"Win"
"Prionace glauca",16.85,38.275,"Win"
"Prionace glauca",16.85,38.275,"Win"
"Prionace glauca",16.85,38.275,"Win"
"Prionace glauca",16.85,38.275,"Win"
"Prionace glauca",16.85,38.275,"Win"
"Prionace glauca",16.85,38.275,"Win"
"Prionace glauca",16.85,38.275,"Win"
"Prionace glauca",16.85,38.275,"Win"
"Prionace glauca",16.85,38.25,"Win"
"Prionace glauca",16.85,38.25,"Win"
"Prionace glauca",16.85,38.25,"Win"
"Prionace glauca",16.85,38.25,"Win"
"Prionace glauca",16.85,38.25,"Win"
"Prionace glauca",16.825,38.25,"Win"
"Prionace glauca",16.8,38.275,"Win"
"Prionace glauca",16.75,38.275,"Win"
"Prionace glauca",16.75,38.275,"Win"
"Prionace glauca",16.725,38.3,"Win"
"Prionace glauca",16.725,38.3,"Win"
"Prionace glauca",16.675,38.3,"Win"
"Prionace glauca",16.675,38.3,"Win"
"Prionace glauca",18.6,41.875,"Win"
"Prionace glauca",18.625,41.875,"Win"
"Prionace glauca",18.625,41.875,"Win"
"Prionace glauca",18.625,41.875,"Win"
"Prionace glauca",18.625,41.875,"Win"
"Prionace glauca",18.65,41.925,"Win"
"Prionace glauca",18.675,41.925,"Win"
"Prionace glauca",18.675,41.925,"Win"
"Prionace glauca",18.65,41.925,"Win"
"Prionace glauca",18.65,41.925,"Win"
"Prionace glauca",18.625,41.925,"Win"
"Prionace glauca",18.575,41.925,"Win"
"Prionace glauca",18.5,41.95,"Win"
"Prionace glauca",18.425,41.95,"Win"
"Prionace glauca",18.375,41.925,"Win"
"Prionace glauca",18.325,41.925,"Win"
"Prionace glauca",18.3,41.9,"Win"
"Prionace glauca",18.225,41.9,"Win"
"Prionace glauca",18.175,41.875,"Win"
"Prionace glauca",18.125,41.875,"Win"
"Prionace glauca",18.1,41.85,"Win"
"Prionace glauca",18.1,41.85,"Win"
"Prionace glauca",18.1,41.85,"Win"
"Prionace glauca",18.1,41.85,"Win"
"Prionace glauca",18.1,41.85,"Win"
"Prionace glauca",18.075,41.875,"Win"
"Prionace glauca",18.05,41.875,"Win"
"Prionace glauca",18.025,41.875,"Win"
"Prionace glauca",18,41.9,"Win"
"Prionace glauca",18,41.9,"Win"
"Prionace glauca",18.025,41.9,"Win"
"Prionace glauca",18.025,41.9,"Win"
"Prionace glauca",18.025,41.9,"Win"
"Prionace glauca",18.025,41.9,"Win"
"Prionace glauca",18.025,41.95,"Win"
"Prionace glauca",18.025,41.95,"Win"
"Prionace glauca",18.025,41.925,"Win"
"Prionace glauca",17.975,41.925,"Win"
"Prionace glauca",17.95,41.925,"Win"
"Prionace glauca",17.875,41.9,"Win"
"Prionace glauca",17.725,41.825,"Win"
"Prionace glauca",17.625,41.775,"Win"
"Prionace glauca",17.525,41.725,"Win"
"Prionace glauca",17.525,41.725,"Win"
"Prionace glauca",17.475,41.7,"Win"
"Prionace glauca",17.4,41.65,"Win"
"Prionace glauca",17.35,41.625,"Win"
"Prionace glauca",17.35,41.625,"Win"
"Prionace glauca",17.35,41.625,"Win"
"Prionace glauca",17.35,41.6,"Win"
"Prionace glauca",17.35,41.6,"Win"
"Prionace glauca",17.35,41.6,"Win"
"Prionace glauca",17.35,41.6,"Win"
"Prionace glauca",17.35,41.6,"Win"
"Prionace glauca",17.35,41.6,"Win"
"Prionace glauca",17.35,41.6,"Win"
"Prionace glauca",17.35,41.6,"Win"
"Prionace glauca",17.35,41.575,"Win"
"Prionace glauca",17.35,41.55,"Win"
"Prionace glauca",17.35,41.5,"Win"
"Prionace glauca",17.35,41.5,"Win"
"Prionace glauca",17.35,41.5,"Win"
"Prionace glauca",17.35,41.5,"Win"
"Prionace glauca",17.35,41.475,"Win"
"Prionace glauca",17.35,41.475,"Win"
"Prionace glauca",17.35,41.425,"Win"
"Prionace glauca",17.325,41.4,"Win"
"Prionace glauca",17.325,41.4,"Win"
"Prionace glauca",17.325,41.4,"Win"
"Prionace glauca",17.325,41.4,"Win"
"Prionace glauca",17.325,41.4,"Win"
"Prionace glauca",17.325,41.4,"Win"
"Prionace glauca",17.35,41.4,"Win"
"Prionace glauca",17.375,41.375,"Win"
"Prionace glauca",17.375,41.375,"Win"
"Prionace glauca",17.375,41.375,"Win"
"Prionace glauca",17.375,41.375,"Win"
"Prionace glauca",17.375,41.375,"Win"
"Prionace glauca",17.4,41.375,"Win"
"Prionace glauca",17.4,41.375,"Win"
"Prionace glauca",17.4,41.375,"Win"
"Prionace glauca",17.4,41.375,"Win"
"Prionace glauca",17.425,41.375,"Win"
"Prionace glauca",17.425,41.375,"Win"
"Prionace glauca",17.525,41.35,"Win"
"Prionace glauca",17.575,41.325,"Win"
"Prionace glauca",17.6,41.325,"Win"
"Prionace glauca",17.6,41.325,"Win"
"Prionace glauca",17.6,41.325,"Win"
"Prionace glauca",17.6,41.325,"Win"
"Prionace glauca",17.6,41.325,"Win"
"Prionace glauca",17.625,41.275,"Win"
"Prionace glauca",17.65,41.225,"Win"
"Prionace glauca",17.675,41.2,"Win"
"Prionace glauca",17.675,41.2,"Win"
"Prionace glauca",17.675,41.175,"Win"
"Prionace glauca",17.675,41.175,"Win"
"Prionace glauca",17.675,41.175,"Win"
"Prionace glauca",17.675,41.175,"Win"
"Prionace glauca",17.7,41.15,"Win"
"Prionace glauca",17.7,41.15,"Win"
"Prionace glauca",17.675,41.15,"Win"
"Prionace glauca",17.675,41.15,"Win"
"Prionace glauca",17.675,41.15,"Win"
"Prionace glauca",17.675,41.15,"Win"
"Prionace glauca",17.65,41.125,"Win"
"Prionace glauca",17.65,41.125,"Win"
