"species","dd long","dd lat","season"
"Prionace glauca",10.220747,43.583829,"Sum"
"Prionace glauca",11.134996,42.555121,"Sum"
"Prionace glauca",10.256124,43.349302,"Sum"
"Prionace glauca",10.256124,43.349302,"Sum"
"Prionace glauca",10.442177,43.096349,"Sum"
"Prionace glauca",10.442177,43.096349,"Sum"
"Prionace glauca",10.52829,43.086386,"Sum"
"Prionace glauca",10.375292,43.446926,"Sum"
"Prionace glauca",8.244,40.951,"Sum"
"Prionace glauca",10.112625,43.863999,"Sum"
"Prionace glauca",10.270942,43.645852,"Sum"
"Prionace glauca",10.272319,43.642154,"Sum"
"Prionace glauca",18.751038,42.188979,"Sum"
"Prionace glauca",18.846796,42.160317,"Sum"
"Prionace glauca",18.480499,42.171679,"Sum"
"Prionace glauca",18.866182,42.074036,"Sum"
"Prionace glauca",18.453034,42.207292,"Sum"
"Prionace glauca",18.453034,42.207292,"Sum"
"Prionace glauca",18.453034,42.207292,"Sum"
"Prionace glauca",18.829315,42.110582,"Sum"
"Prionace glauca",18.737305,42.238818,"Sum"
"Prionace glauca",8.61416666666667,41.1602777777778,"Sum"
"Prionace glauca",18.6666666666667,41.0833333333333,"Sum"
"Prionace glauca",18.6333333333333,41.1666666666667,"Sum"
"Prionace glauca",17.05,42.4166666666667,"Sum"
"Prionace glauca",16.8333333333333,42.25,"Sum"
"Prionace glauca",16.9166666666667,42,"Sum"
"Prionace glauca",15.1666666666667,42.7333333333333,"Sum"
"Prionace glauca",15.2333333333333,42.7,"Sum"
"Prionace glauca",15.8333333333333,42.5833333333333,"Sum"
"Prionace glauca",17.1666666666667,41.6,"Sum"
"Prionace glauca",17.2,41.5333333333333,"Sum"
"Prionace glauca",13.19171667,44.00706667,"Sum"
"Prionace glauca",13.19171667,44.00706667,"Sum"
"Prionace glauca",12.757,44.2134,"Sum"
"Prionace glauca",12.757,44.2134,"Sum"
"Prionace glauca",13.19171667,44.00706667,"Sum"
"Prionace glauca",13.25878333,44.09258333,"Sum"
"Prionace glauca",13.04765,44.1371,"Sum"
"Prionace glauca",13.04765,44.1371,"Sum"
"Prionace glauca",13.08333333,44.23,"Sum"
"Prionace glauca",13.15455,44.08198333,"Sum"
"Prionace glauca",13.15455,44.08198333,"Sum"
"Prionace glauca",12.77598433,44.21435,"Sum"
"Prionace glauca",12.8525,44.85083333,"Sum"
"Prionace glauca",12.43893333,44.77245,"Sum"
"Prionace glauca",12.44403333,44.77715,"Sum"
"Prionace glauca",12.44403333,44.77715,"Sum"
"Prionace glauca",12.76,45.25,"Sum"
"Prionace glauca",12.76,45.25,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.78305556,44.8566667,"Sum"
"Prionace glauca",12.67055556,45.05222222,"Sum"
"Prionace glauca",12.67055556,45.05222222,"Sum"
"Prionace glauca",12.95,45.15833333,"Sum"
"Prionace glauca",12.7808,45.24121667,"Sum"
"Prionace glauca",12.59051667,45.03513333,"Sum"
"Prionace glauca",12.59051667,45.03513333,"Sum"
"Prionace glauca",12.59051667,45.03513333,"Sum"
"Prionace glauca",12.62676667,45.04558333,"Sum"
"Prionace glauca",12.79416667,45.00083333,"Sum"
"Prionace glauca",12.64091667,44.97138333,"Sum"
"Prionace glauca",12.48138333,44.65086667,"Sum"
"Prionace glauca",12.71575,44.83935,"Sum"
"Prionace glauca",13.66583333,43.74001667,"Sum"
"Prionace glauca",12.8303,44.85995,"Sum"
"Prionace glauca",13.20031667,45.33263333,"Sum"
"Prionace glauca",13.13431667,45.1876,"Sum"
"Prionace glauca",12.91528333,45.26161667,"Sum"
"Prionace glauca",12.91528333,45.26161667,"Sum"
"Prionace glauca",12.91528333,45.26161667,"Sum"
"Prionace glauca",12.91528333,45.26161667,"Sum"
"Prionace glauca",12.80091667,45.3456,"Sum"
"Prionace glauca",12.92081667,45.45425,"Sum"
"Prionace glauca",12.92081667,45.45425,"Sum"
"Prionace glauca",12.79773333,45.23021667,"Sum"
"Prionace glauca",12.79773333,45.23021667,"Sum"
"Prionace glauca",12.81944444,45.01583333,"Sum"
"Prionace glauca",12.94768333,45.16585,"Sum"
"Prionace glauca",12.94768333,45.16585,"Sum"
"Prionace glauca",12.94768333,45.16585,"Sum"
"Prionace glauca",12.6718,45.17488333,"Sum"
"Prionace glauca",12.6718,45.17488333,"Sum"
"Prionace glauca",12.6718,45.17488333,"Sum"
"Prionace glauca",12.6718,45.17488333,"Sum"
"Prionace glauca",12.6718,45.17488333,"Sum"
"Prionace glauca",12.6718,45.17488333,"Sum"
"Prionace glauca",12.6718,45.17488333,"Sum"
"Prionace glauca",12.50353333,44.82645,"Sum"
"Prionace glauca",12.51696667,44.82645,"Sum"
"Prionace glauca",12.51696667,44.82645,"Sum"
"Prionace glauca",12.51696667,44.82645,"Sum"
"Prionace glauca",12.51696667,44.82645,"Sum"
"Prionace glauca",12.51696667,44.82645,"Sum"
"Prionace glauca",12.51696667,44.82645,"Sum"
"Prionace glauca",12.51696667,44.82645,"Sum"
"Prionace glauca",12.51696667,44.82645,"Sum"
"Prionace glauca",12.47753333,44.795,"Sum"
"Prionace glauca",12.47753333,44.795,"Sum"
"Prionace glauca",12.51591667,44.74823333,"Sum"
"Prionace glauca",12.51591667,44.74823333,"Sum"
"Prionace glauca",12.51431667,44.7696,"Sum"
"Prionace glauca",12.7414,44.88741667,"Sum"
"Prionace glauca",12.7414,44.88741667,"Sum"
"Prionace glauca",12.7414,44.88741667,"Sum"
