"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"LQP";4.5;"fc.LQP_rm.4.5";0.55412163884603;0.824;0.0178119182780997;0.0104261814596841;0.546816488512354;0.00947508629645904;0.7865;0.0106066017177982;0.101884617232159;0.00305700015884534;0.00421516980769539;0.00187382787514409;16548.9570437334;38.0043944256795;3.68913344557077e-09;4
"LQH";4.5;"fc.LQH_rm.4.5";0.56010693466096;0.974;0.0173823564828327;0.0069981748577402;0.5553611617986;0.0103628349062976;0.6915;0.053033008588991;0.105014971258386;0.0231539456475508;0.00277008310249307;0.00391748909244625;16540.7470829771;29.7944336693799;2.23714787400659e-07;9
"L";5;"fc.L_rm.5";0.549962596329606;0.933;0.0164633172096688;0.00683313629082445;0.545559981286997;0.00836868937692612;0.6275;0.0954594154601838;0.113565401181689;0.0274111014243132;0.00415512465373961;0.00587623363866937;16562.509437567;51.5567882592986;4.20784211296134e-12;5
"Q";5;"fc.Q_rm.5";0.551723662848306;0.916;0.010777382996273;0.002308603201087;0.547315730516689;0.0058427480151604;0.703;0.0466690475583121;0.116515619746049;0.0355008296224428;0.00138504155124654;0.00195874454622312;16548.2678933994;37.3152440916201;5.20680674434298e-09;4
"P";5;"fc.P_rm.5";0.55411557679042;0.826;0.0238090795242804;0.00182523760157309;0.551180671622872;0.0159214489853226;0.7825;0.00636396103067893;0.103329703937361;0.0051006613761475;0.00144508670520231;0.00204366121730216;16552.4364782835;41.4838289757427;6.47701275734826e-10;3
"H";5;"fc.H_rm.5";0.568718675114915;0.977;0.0239660928078955;0.0197975280752495;0.537314403445284;0.00320589463331495;0.403;0.154149278298667;0.103569884553184;0.0211102844302486;0.00554016620498615;0.00783497818489249;16723.0490553458;212.09640603809;5.79861629604796e-47;21
"LQ";5;"fc.LQ_rm.5";0.550298135044019;0.935;0.016567482760906;0.00668582395553263;0.547177951422019;0.0106568446853881;0.6805;0.0205060966544098;0.112180359630442;0.0293698459705363;0.00277008310249307;0.00391748909244625;16564.2207728795;53.2681235717973;1.78833013290534e-12;6
"LP";5;"fc.LP_rm.5";0.554135258789154;0.846;0.0195552706687299;0.00784166297404308;0.548246189751059;0.0117702818385583;0.7835;0.00777817459305203;0.100559620834868;0.00901815046859374;0.00283012825644885;8.4916671079037e-05;16554.8290395093;43.8763902015671;1.958108188004e-10;4
"QP";5;"fc.QP_rm.5";0.55411557679042;0.826;0.0179628276241734;0.0101048391804352;0.546932231820989;0.00991774352198905;0.768;0.0127279220613579;0.103329703937361;0.0051006613761475;0.00421516980769539;0.00187382787514409;16552.4364515639;41.4838022561053;6.47709928964241e-10;3
"QH";5;"fc.QH_rm.5";0.563020736481498;0.891;0.0119165137633594;0.00251717786892812;0.555371710378018;0.00568232466973882;0.682;0.124450793488832;0.113625446335644;0.0314135071878385;0.00138504155124654;0.00195874454622312;16534.2108165119;23.2581672041633;5.87525770442262e-06;8
"LQP";5;"fc.LQP_rm.5";0.554129669101514;0.84;0.0179706217608557;0.0100895686428693;0.546945373575987;0.00992142189776759;0.7765;0.0148492424049175;0.103329703937361;0.0051006613761475;0.00421516980769539;0.00187382787514409;16554.9380153309;43.9853660231383;1.85426962642211e-10;4
"LQH";5;"fc.LQH_rm.5";0.559458609622671;0.958;0.0172822497886588;0.00682477248572474;0.553447290532876;0.00871578322930287;0.756;0.0494974746830584;0.106460057963589;0.025197606864853;0.00277008310249307;0.00391748909244625;16548.017614836;37.0649655282323;5.90090683883599e-09;9
