"dd.long","dd.lat"
"1",17.03,40.3
"2",17.34,40.17
"3",13.45,45.38
"4",17.53,40.15
"5",17.46,40.17
"6",13.19,37.21
"7",13.04,37.3
"8",18,39.59
"9",16.3166666666667,38.2833333333333
"10",17.5666666666667,40.2833333333333
"11",17.2833333333333,40.3666666666667
"12",18.4166666666667,40.3
"13",15.6333333333333,38.1833333333333
"14",16.9333333333333,40.45
"15",16.6166666666667,38.8166666666667
"16",13.7,45.7
"17",15.6166666666667,38.0833333333333
"18",12.886,33.5313
"19",15.2765,35.1445
"20",15.22355,34.94029
"21",15.26733,35.05055
"22",14.94765,34.75576
"23",14.98467,34.672
"24",15.2189,34.65121
"25",14.86506,34.7913
"26",15.54588,35.50049
"27",15.8415,35.3636
"28",15.12928,34.71592
"29",21.107,37.5461
"30",21.023,37.4551
"31",20.231,38.54618
"32",24.56,35.584
"33",24.516,34.902
"34",14.697559,42.788201
"35",14.764936,43.237997
"36",16.31058,37.68925
"37",16.40533,37.43561
"38",16.06201,36.58025
"39",15.48248,37.64903
"40",15.55664,37.48143
"41",15.46875,37.85317
"42",15.47974,37.95719
"43",16.52,39.75
"44",16.15,37.94
"45",34.1116,34.9514
"46",32.416617,34.230483
"47",31.31745,34.652333
"48",32.416,34.2971
"49",32.13095,34.74325
"50",33.5166666666667,34.7
"51",32.72705,34.1182166666667
"52",34.31452,34.93251
"53",33.705967,34.6749
"54",31.386667,35.004167
"55",32.1983708744253,34.6665455565508
"56",24.092407,35.033567
"57",23.7170809414752,39.1779224345722
"58",23.3028923088173,40.1973532794104
"59",23.0475,40.2688
"60",23.6926698512412,37.9033307251828
"61",20.6288605824197,37.7415227345457
"62",23.24367,39.99958
"63",22.8064,40.2997
"64",25.0503,40.0421
"65",23.881997,36.840658
"66",25.227863,36.87505
"67",23.3598673540163,37.8411672632711
"68",27.6514,36.2645
"69",21.58231226432,37.4553905547043
"70",23.4152,37.2587
"71",23.280492008598,37.8889684516026
"72",12.689501,44.138914
"73",18.751038,42.188979
"74",18.546417,42.282522
"75",18.846796,42.160317
"76",19.1599,41.768171
"77",18.443728,42.204872
"78",18.480499,42.171679
"79",18.866182,42.074036
"80",19.056814,41.790402
"81",19.078354,42.036451
"82",19.09774,41.804051
"83",18.810178,42.113995
"84",18.776472,42.215599
"85",18.829315,42.110582
"86",18.737305,42.238818
"87",18.76102,42.260176
"88",18.6666666666667,41.0833333333333
"89",18.6333333333333,41.1666666666667
"90",17.05,42.4166666666667
"91",16.8333333333333,42.25
"92",16.9166666666667,42
"93",15.1666666666667,42.7333333333333
"94",15.2333333333333,42.7
"95",15.8333333333333,42.5833333333333
"96",17.1666666666667,41.6
"97",17.2,41.5333333333333
"98",17.1166666666667,41.9166666666667
"99",13.19171667,44.00706667
