"species","dd long","dd lat","maturity"
"Prionace glauca",12.59833333,44.775,"Adult"
"Prionace glauca",12.51591667,44.74823333,"Adult"
"Prionace glauca",12.51591667,44.74823333,"Adult"
"Prionace glauca",12.51595,44.79895,"Adult"
"Prionace glauca",13.8791,44.03366667,"Adult"
"Prionace glauca",13.8791,44.03366667,"Adult"
"Prionace glauca",13.211,45.43606667,"Adult"
"Prionace glauca",12.78666667,45.32805556,"Adult"
"Prionace glauca",12.80027778,45.32555556,"Adult"
"Prionace glauca",12.68223333,44.73115667,"Adult"
"Prionace glauca",12.47166667,44.55361111,"Adult"
"Prionace glauca",12.86666667,45.2501667,"Adult"
"Prionace glauca",12.88033333,45.2505,"Adult"
"Prionace glauca",12.88033333,45.2505,"Adult"
"Prionace glauca",13.20166667,45.41972222,"Adult"
"Prionace glauca",13.20166667,45.41972222,"Adult"
"Prionace glauca",12.88033333,45.2505,"Adult"
"Prionace glauca",12.86718333,45.25391667,"Adult"
"Prionace glauca",13.65355,45.62828333,"Adult"
"Prionace glauca",13.22748333,45.26371667,"Adult"
"Prionace glauca",12.8774833333333,44.2066333333333,"Adult"
"Prionace glauca",12.8774833333333,44.2066333333333,"Adult"
"Prionace glauca",12.9259666666667,44.12115,"Adult"
"Prionace glauca",12.73295,45.2336833333333,"Adult"
"Prionace glauca",12.548,45.02705,"Adult"
"Prionace glauca",12.548,45.02705,"Adult"
"Prionace glauca",13.0710666666667,45.44175,"Adult"
"Prionace glauca",12.6369,45.1422333333333,"Adult"
"Prionace glauca",12.689,45.0746,"Adult"
"Prionace glauca",12.689,45.0746,"Adult"
"Prionace glauca",12.5836833333333,44.6718166666667,"Adult"
"Prionace glauca",12.5876666666667,45.1358833333333,"Adult"
"Prionace glauca",12.6927,45.0797,"Adult"
"Prionace glauca",12.6933,45.0797,"Adult"
"Prionace glauca",3.175,42.625,"Adult"
"Prionace glauca",10.207,42.36667,"Adult"
"Prionace glauca",9.713,42.2562,"Adult"
"Prionace glauca",6.035,42.369,"Adult"
"Prionace glauca",6.067,42.83333,"Adult"
"Prionace glauca",10.109,41.4219,"Adult"
"Prionace glauca",10.158,41.0551,"Adult"
"Prionace glauca",10.586,40.5306,"Adult"
"Prionace glauca",10.588,40.3605,"Adult"
"Prionace glauca",11.034,39.9081,"Adult"
"Prionace glauca",11.221,39.332,"Adult"
"Prionace glauca",11.124,39.3054,"Adult"
"Prionace glauca",10.623,39.5529,"Adult"
"Prionace glauca",10.025,39.7926,"Adult"
"Prionace glauca",11.219,39.6835,"Adult"
"Prionace glauca",11.457,39.813,"Adult"
"Prionace glauca",11.538,39.7209,"Adult"
"Prionace glauca",11.52,39.7451,"Adult"
"Prionace glauca",11.625,40.1094,"Adult"
"Prionace glauca",11.617,40.3885,"Adult"
"Prionace glauca",11.767,40.3677,"Adult"
"Prionace glauca",11.952,40.0598,"Adult"
"Prionace glauca",11.832,39.8505,"Adult"
"Prionace glauca",12.098,39.7379,"Adult"
"Prionace glauca",12.204,39.7081,"Adult"
"Prionace glauca",11.952,39.5378,"Adult"
"Prionace glauca",11.866,39.623,"Adult"
"Prionace glauca",11.514,39.374,"Adult"
"Prionace glauca",12.168,40.0466,"Adult"
"Prionace glauca",12.49,39.7876,"Adult"
"Prionace glauca",12.476,39.738,"Adult"
"Prionace glauca",12.818,39.8319,"Adult"
"Prionace glauca",12.905,39.6696,"Adult"
"Prionace glauca",12.582,39.3988,"Adult"
"Prionace glauca",12.897,39.10279,"Adult"
"Prionace glauca",12.814,39.24207,"Adult"
"Prionace glauca",12.992,39.26237,"Adult"
"Prionace glauca",13.174,39.48181,"Adult"
"Prionace glauca",13.274,39.86229,"Adult"
"Prionace glauca",13.233,39.84973,"Adult"
"Prionace glauca",13.54,39.70385,"Adult"
"Prionace glauca",13.664,39.46991,"Adult"
"Prionace glauca",14.059,39.54644,"Adult"
"Prionace glauca",14.056,39.57404,"Adult"
"Prionace glauca",14.03,39.59858,"Adult"
"Prionace glauca",14.001,39.60815,"Adult"
"Prionace glauca",14.155,39.58322,"Adult"
"Prionace glauca",14.234,39.50058,"Adult"
"Prionace glauca",14.291,39.51597,"Adult"
"Prionace glauca",14.298,39.55965,"Adult"
"Prionace glauca",14.262,39.6599,"Adult"
"Prionace glauca",14.357,39.70117,"Adult"
"Prionace glauca",14.256,39.72643,"Adult"
"Prionace glauca",14.319,39.75317,"Adult"
"Prionace glauca",14.382,39.78,"Adult"
"Prionace glauca",14.411,39.74076,"Adult"
"Prionace glauca",14.485,39.66809,"Adult"
"Prionace glauca",14.149,39.80859,"Adult"
"Prionace glauca",14.07,39.79262,"Adult"
"Prionace glauca",14.017,39.81924,"Adult"
"Prionace glauca",14.002,39.76964,"Adult"
"Prionace glauca",14.619,39.73243,"Adult"
"Prionace glauca",14.71,39.71222,"Adult"
"Prionace glauca",14.663,39.68646,"Adult"
"Prionace glauca",14.68,39.66385,"Adult"
"Prionace glauca",14.595,39.63537,"Adult"
"Prionace glauca",14.666,39.69059,"Adult"
"Prionace glauca",14.723,39.6152,"Adult"
"Prionace glauca",14.801,39.6714,"Adult"
"Prionace glauca",14.815,39.58692,"Adult"
"Prionace glauca",14.833,39.639,"Adult"
"Prionace glauca",14.85,39.5173,"Adult"
"Prionace glauca",14.886,39.46347,"Adult"
"Prionace glauca",14.946,39.52373,"Adult"
"Prionace glauca",14.996,39.57403,"Adult"
"Prionace glauca",15.014,39.57129,"Adult"
"Prionace glauca",15.02,39.52347,"Adult"
"Prionace glauca",15.014,39.44113,"Adult"
"Prionace glauca",15.124,39.46998,"Adult"
"Prionace glauca",15.28,39.49356,"Adult"
"Prionace glauca",15.204,39.465,"Adult"
"Prionace glauca",15.202,39.41673,"Adult"
"Prionace glauca",15.253,39.37357,"Adult"
"Prionace glauca",15.355,39.33254,"Adult"
"Prionace glauca",15.139,39.38115,"Adult"
"Prionace glauca",15.122,39.30545,"Adult"
"Prionace glauca",15.069,39.3081,"Adult"
"Prionace glauca",15.058,39.1995,"Adult"
"Prionace glauca",15.122,39.68775,"Adult"
"Prionace glauca",15.074,39.8543,"Adult"
"Prionace glauca",15.267,39.86586,"Adult"
"Prionace glauca",15.346,39.81731,"Adult"
"Prionace glauca",15.203,39.80064,"Adult"
"Prionace glauca",15.122,39.68775,"Adult"
"Prionace glauca",15.32,39.69351,"Adult"
"Prionace glauca",15.333,39.65548,"Adult"
"Prionace glauca",15.428,39.58875,"Adult"
"Prionace glauca",14.398,39.27792,"Adult"
"Prionace glauca",14.37,39.1998,"Adult"
"Prionace glauca",14.638,39.19689,"Adult"
"Prionace glauca",14.53,39.2619,"Adult"
"Prionace glauca",14.649,38.9729,"Adult"
"Prionace glauca",15.058,39.1995,"Adult"
"Prionace glauca",15.524,38.90508,"Adult"
"Prionace glauca",15.845,39.09225,"Adult"
"Prionace glauca",14.674,38.68964,"Adult"
"Prionace glauca",14.382,38.59883,"Adult"
"Prionace glauca",14.888,40.02787,"Adult"
"Prionace glauca",14.213,40.2152,"Adult"
"Prionace glauca",14.266,40.10487,"Adult"
"Prionace glauca",14.251,40.06276,"Adult"
"Prionace glauca",14.288,39.9971,"Adult"
"Prionace glauca",13.926,40.4123,"Adult"
"Prionace glauca",13.931,40.3346,"Adult"
"Prionace glauca",13.818,40.38275,"Adult"
"Prionace glauca",13.616,40.3558,"Adult"
"Prionace glauca",13.628,40.41721,"Adult"
"Prionace glauca",13.583,40.38052,"Adult"
"Prionace glauca",13.555,40.43962,"Adult"
"Prionace glauca",13.603,40.5195,"Adult"
"Prionace glauca",13.501,40.43041,"Adult"
"Prionace glauca",13.379,40.41879,"Adult"
