"species","dd long","dd lat","maturity"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",8.217383,43.528036,"Juvenile"
"Prionace glauca",23.3028923088173,40.1973532794104,"Juvenile"
"Prionace glauca",25.4848795120752,40.8777346139586,"Juvenile"
"Prionace glauca",23.6926698512412,37.9033307251828,"Juvenile"
"Prionace glauca",23.0053096108713,37.8482923418143,"Juvenile"
"Prionace glauca",23.24367,39.99958,"Juvenile"
"Prionace glauca",23.273655,40.188235,"Juvenile"
"Prionace glauca",23.467735,37.932621,"Juvenile"
"Prionace glauca",22.8064,40.2997,"Juvenile"
"Prionace glauca",22.5,38.2,"Juvenile"
"Prionace glauca",24.9333296,37.83333,"Juvenile"
"Prionace glauca",23.881997,36.840658,"Juvenile"
"Prionace glauca",24.956879,37.39179,"Juvenile"
"Prionace glauca",23.712433391018,40.1759971288608,"Juvenile"
"Prionace glauca",19.9344547,39.6172578,"Juvenile"
"Prionace glauca",23.280492008598,37.8889684516026,"Juvenile"
"Prionace glauca",9.720336,44.09934,"Juvenile"
"Prionace glauca",10.321201,43.320031,"Juvenile"
"Prionace glauca",15.740619,37.923144,"Juvenile"
"Prionace glauca",16.215036,38.176481,"Juvenile"
"Prionace glauca",10.750803,42.919525,"Juvenile"
"Prionace glauca",10.287283,43.355624,"Juvenile"
"Prionace glauca",10.332424,43.347651,"Juvenile"
"Prionace glauca",10.407128,43.407365,"Juvenile"
"Prionace glauca",10.227612,43.517737,"Juvenile"
"Prionace glauca",10.36913,43.398597,"Juvenile"
"Prionace glauca",10.750803,42.919525,"Juvenile"
"Prionace glauca",10.233249,43.854221,"Juvenile"
"Prionace glauca",11.134996,42.555121,"Juvenile"
"Prionace glauca",10.256124,43.349302,"Juvenile"
"Prionace glauca",10.256124,43.349302,"Juvenile"
